Unnamed: 0,START_DATE,END_DATE,CATEGORY,START,Latitude,Longitude,STOP,Latitude.1,Longitude.1,MILES,PURPOSE,SALARY,MONTH,DAY_OF_THE_WEEK,DURATION,money_regex
10,2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,27.9531045,-82.5033163,East Harlem,40.7957399,-73.9389213,6.2,Meeting,$13.33,Jan,Sun,0 days 00:20:00.000000000,13.33
11,2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,40.7957399,-73.9389213,NoMad,,,6.4,Temporary Site,$13.76,Jan,Mon,0 days 00:26:00.000000000,13.76
12,2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,40.740083,-73.9903489,Midtown,27.9531045,-82.5033163,1.6,Errand/Supplies,$3.44,Jan,Mon,0 days 00:07:00.000000000,3.44
13,2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,27.9531045,-82.5033163,Midtown East,40.7571432,-73.9718815,1.7,Meal/Entertain,$3.66,Jan,Mon,0 days 00:14:00.000000000,3.66
14,2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,40.7571432,-73.9718815,Midtown,27.9531045,-82.5033163,1.9,Meal/Entertain,$4.09,Jan,Mon,0 days 00:13:00.000000000,4.09
15,2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,27.9531045,-82.5033163,Hudson Square,40.726610799999996,-74.0074328,1.9,Meal/Entertain,$4.09,Jan,Tues,0 days 00:16:00.000000000,4.09
16,2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,40.726610799999996,-74.0074328,Lower Manhattan,40.720859499999996,-74.0006686,4.0,Meal/Entertain,$8.60,Jan,Tues,0 days 00:16:00.000000000,8.6
17,2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,40.720859499999996,-74.0006686,Hudson Square,40.726610799999996,-74.0074328,1.8,Errand/Supplies,$3.87,Jan,Tues,0 days 00:14:00.000000000,3.87
18,2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,40.726610799999996,-74.0074328,Hell's Kitchen,40.763758100000004,-73.9918181,2.4,Customer Visit,$5.16,Jan,Tues,0 days 00:15:00.000000000,5.16
19,2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,40.763758100000004,-73.9918181,Midtown,27.9531045,-82.5033163,2.0,Errand/Supplies,$4.30,Jan,Tues,0 days 00:12:00.000000000,4.3
20,2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,40.7127753,-74.0059728,Queens County,40.7282239,-73.7948516,15.1,Meeting,$32.47,Jan,Tues,0 days 00:58:00.000000000,32.47
21,2016-01-13 13:54:00,2016-01-13 14:07:00,Business,Downtown,,,Gulfton,29.7164567,-95.4805999,11.2,Meeting,$24.08,Jan,Wed,0 days 00:13:00.000000000,24.08
22,2016-01-13 15:00:00,2016-01-13 15:28:00,Business,Gulfton,29.7164567,-95.4805999,Downtown,,,11.8,Meeting,$25.37,Jan,Wed,0 days 00:28:00.000000000,25.37
23,2016-01-14 16:29:00,2016-01-14 17:05:00,Business,Houston,29.7604267,-95.36980279999999,Houston,29.7604267,-95.36980279999999,21.9,Customer Visit,$47.09,Jan,Thus,0 days 00:36:00.000000000,47.09
24,2016-01-14 21:39:00,2016-01-14 21:45:00,Business,Eagan Park,44.804132200000005,-93.1668858,Jamestown Court,,,3.9,Errand/Supplies,$8.39,Jan,Thus,0 days 00:06:00.000000000,8.39
25,2016-01-15 00:41:00,2016-01-15 01:01:00,Business,Morrisville,42.8986791,-75.6401825,Cary,35.791540000000005,-78.78111690000001,8.0,Errand/Supplies,$17.20,Jan,Fri,0 days 00:20:00.000000000,17.2
26,2016-01-15 11:43:00,2016-01-15 12:03:00,Business,Cary,35.791540000000005,-78.78111690000001,Durham,35.99403289999999,-78.898619,10.4,Meal/Entertain,$22.36,Jan,Fri,0 days 00:20:00.000000000,22.36
27,2016-01-15 13:26:00,2016-01-15 13:44:00,Business,Durham,35.99403289999999,-78.898619,Cary,35.791540000000005,-78.78111690000001,10.4,Meal/Entertain,$22.36,Jan,Fri,0 days 00:18:00.000000000,22.36
28,2016-01-18 14:55:00,2016-01-18 15:06:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,4.8,Meal/Entertain,$10.32,Jan,Mon,0 days 00:11:00.000000000,10.32
29,2016-01-18 16:13:00,2016-01-18 16:24:00,Business,Farmington Woods,41.7698391,-72.8907258,Whitebridge,57.204617000000006,-4.507264,4.7,Meal/Entertain,$10.11,Jan,Mon,0 days 00:11:00.000000000,10.11
30,2016-01-19 10:55:00,2016-01-19 11:09:00,Business,Lake Wellingborough,35.748903799999994,-78.7635603,Whitebridge,57.204617000000006,-4.507264,7.6,Temporary Site,$16.34,Jan,Tues,0 days 00:14:00.000000000,16.34
31,2016-01-20 10:36:00,2016-01-20 11:11:00,Business,Cary,35.791540000000005,-78.78111690000001,Raleigh,35.7795897,-78.6381787,17.1,Meeting,$36.77,Jan,Wed,0 days 00:35:00.000000000,36.77
32,2016-01-20 11:48:00,2016-01-20 12:19:00,Business,Fayetteville Street,35.7737065,-78.63945079999999,Umstead,35.8905776,-78.7501817,15.1,Meeting,$32.47,Jan,Wed,0 days 00:31:00.000000000,32.47
33,2016-01-20 13:25:00,2016-01-20 14:19:00,Business,Raleigh,35.7795897,-78.6381787,Cary,35.791540000000005,-78.78111690000001,40.2,Customer Visit,$86.43,Jan,Wed,0 days 00:54:00.000000000,86.43
34,2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.6,Errand/Supplies,$3.44,Jan,Thus,0 days 00:04:00.000000000,3.44
35,2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,2.4,Meal/Entertain,$5.16,Jan,Thus,0 days 00:08:00.000000000,5.16
36,2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.0,Meal/Entertain,$2.15,Jan,Thus,0 days 00:05:00.000000000,2.15
37,2016-01-26 10:41:00,2016-01-26 10:50:00,Business,Whitebridge,57.204617000000006,-4.507264,Hazelwood,-25.7777598,28.2577787,2.0,Meal/Entertain,$4.30,Jan,Tues,0 days 00:09:00.000000000,4.3
38,2016-01-26 12:33:00,2016-01-26 12:41:00,Business,Hazelwood,-25.7777598,28.2577787,Whitebridge,57.204617000000006,-4.507264,2.3,Errand/Supplies,$4.95,Jan,Tues,0 days 00:08:00.000000000,4.95
39,2016-01-26 16:24:00,2016-01-26 16:32:00,Business,Whitebridge,57.204617000000006,-4.507264,Westpark Place,41.6831878,-83.6269032,1.9,Errand/Supplies,$4.09,Jan,Tues,0 days 00:08:00.000000000,4.09
40,2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.4,Errand/Supplies,$3.01,Jan,Tues,0 days 00:05:00.000000000,3.01
41,2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,0.5,Errand/Supplies,$1.08,Jan,Tues,0 days 00:02:00.000000000,1.08
42,2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.8,Meeting,$3.87,Jan,Wed,0 days 00:07:00.000000000,3.87
43,2016-01-27 10:19:00,2016-01-27 10:48:00,Business,Cary,35.791540000000005,-78.78111690000001,Raleigh,35.7795897,-78.6381787,18.7,Customer Visit,$40.21,Jan,Wed,0 days 00:29:00.000000000,40.21
44,2016-01-27 12:34:00,2016-01-27 12:44:00,Business,Fairmont,,,Meredith Townes,35.8224407,-78.6902175,3.4,Customer Visit,$7.31,Jan,Wed,0 days 00:10:00.000000000,7.31
45,2016-01-27 14:05:00,2016-01-27 14:13:00,Business,Raleigh,35.7795897,-78.6381787,Raleigh,35.7795897,-78.6381787,2.7,Customer Visit,$5.81,Jan,Wed,0 days 00:08:00.000000000,5.81
46,2016-01-27 14:46:00,2016-01-27 15:08:00,Business,Raleigh,35.7795897,-78.6381787,Cary,35.791540000000005,-78.78111690000001,12.9,Customer Visit,$27.74,Jan,Wed,0 days 00:22:00.000000000,27.74
47,2016-01-28 12:28:00,2016-01-28 13:00:00,Business,Cary,35.791540000000005,-78.78111690000001,Raleigh,35.7795897,-78.6381787,19.0,Temporary Site,$40.85,Jan,Thus,0 days 00:32:00.000000000,40.85
48,2016-01-28 15:11:00,2016-01-28 15:31:00,Business,Meredith Townes,35.8224407,-78.6902175,Leesville Hollow,35.921576,-78.7568306,14.7,Meeting,$31.61,Jan,Thus,0 days 00:20:00.000000000,31.61
49,2016-01-28 16:21:00,2016-01-28 16:51:00,Business,Raleigh,35.7795897,-78.6381787,Cary,35.791540000000005,-78.78111690000001,15.7,Meeting,$33.76,Jan,Thus,0 days 00:30:00.000000000,33.76
50,2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,4.6,Customer Visit,$9.89,Jan,Fri,0 days 00:14:00.000000000,9.89
51,2016-01-29 10:56:00,2016-01-29 11:07:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,5.2,Meeting,$11.18,Jan,Fri,0 days 00:11:00.000000000,11.18
52,2016-01-29 11:43:00,2016-01-29 12:03:00,Business,Cary,35.791540000000005,-78.78111690000001,Durham,35.99403289999999,-78.898619,10.4,Meeting,$22.36,Jan,Fri,0 days 00:20:00.000000000,22.36
53,2016-01-29 13:24:00,2016-01-29 13:47:00,Business,Durham,35.99403289999999,-78.898619,Cary,35.791540000000005,-78.78111690000001,10.1,Meeting,$21.72,Jan,Fri,0 days 00:23:00.000000000,21.72
54,2016-01-29 18:31:00,2016-01-29 18:52:00,Business,Cary,35.791540000000005,-78.78111690000001,Apex,,,5.8,Errand/Supplies,$12.47,Jan,Fri,0 days 00:21:00.000000000,12.47
55,2016-01-29 21:21:00,2016-01-29 21:40:00,Business,Apex,,,Cary,35.791540000000005,-78.78111690000001,5.5,Meal/Entertain,$11.83,Jan,Fri,0 days 00:19:00.000000000,11.83
56,2016-01-30 16:21:00,2016-01-30 16:33:00,Business,Cary,35.791540000000005,-78.78111690000001,Apex,,,5.7,Errand/Supplies,$12.26,Jan,Sat,0 days 00:12:00.000000000,12.26
57,2016-01-30 18:09:00,2016-01-30 18:24:00,Business,Apex,,,Cary,35.791540000000005,-78.78111690000001,5.7,Customer Visit,$12.26,Jan,Sat,0 days 00:15:00.000000000,12.26
58,2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,35.791540000000005,-78.78111690000001,Chapel Hill,35.913199600000006,-79.05584449999999,19.4,Customer Visit,$41.71,Feb,Mon,0 days 00:40:00.000000000,41.71
59,2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,35.913199600000006,-79.05584449999999,Cary,35.791540000000005,-78.78111690000001,23.3,Customer Visit,$50.10,Feb,Mon,0 days 00:33:00.000000000,50.1
60,2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,,,Whitebridge,57.204617000000006,-4.507264,3.9,Meal/Entertain,$8.39,Feb,Mon,0 days 00:11:00.000000000,8.39
61,2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,57.204617000000006,-4.507264,Williamsburg Manor,35.765089700000004,-78.74886120000001,8.3,Meeting,$17.85,Feb,Tues,0 days 00:19:00.000000000,17.85
62,2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,6.0,Errand/Supplies,$12.90,Feb,Tues,0 days 00:15:00.000000000,12.9
63,2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.6,Errand/Supplies,$3.44,Feb,Tues,0 days 00:04:00.000000000,3.44
64,2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,35.791540000000005,-78.78111690000001,Morrisville,42.8986791,-75.6401825,5.2,Errand/Supplies,$11.18,Feb,Thus,0 days 00:21:00.000000000,11.18
65,2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,42.8986791,-75.6401825,Cary,35.791540000000005,-78.78111690000001,9.7,Meal/Entertain,$20.86,Feb,Thus,0 days 00:32:00.000000000,20.86
66,2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.6,Meal/Entertain,$3.44,Feb,Thus,0 days 00:06:00.000000000,3.44
67,2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.1,Meal/Entertain,$2.37,Feb,Thus,0 days 00:04:00.000000000,2.37
68,2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,1.6,Meal/Entertain,$3.44,Feb,Thus,0 days 00:04:00.000000000,3.44
69,2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,57.204617000000006,-4.507264,Macgregor Downs,35.7468814,-78.79578559999999,9.0,Meeting,$19.35,Feb,Thus,0 days 00:27:00.000000000,19.35
70,2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,35.791540000000005,-78.78111690000001,Cary,35.791540000000005,-78.78111690000001,7.7,Meeting,$16.56,Feb,Thus,0 days 00:19:00.000000000,16.56
71,2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,35.791540000000005,-78.78111690000001,Durham,35.99403289999999,-78.898619,10.4,Meeting,$22.36,Feb,Fri,0 days 00:20:00.000000000,22.36
72,2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,35.99403289999999,-78.898619,Cary,35.791540000000005,-78.78111690000001,10.4,Meeting,$22.36,Feb,Fri,0 days 00:19:00.000000000,22.36
73,2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,35.791540000000005,-78.78111690000001,Raleigh,35.7795897,-78.6381787,11.4,Between Offices,$24.51,Feb,Sat,0 days 00:33:00.000000000,24.51
74,2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,35.7795897,-78.6381787,Cary,35.791540000000005,-78.78111690000001,9.0,Errand/Supplies,$19.35,Feb,Sat,0 days 00:24:00.000000000,19.35
75,2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,35.7834843,-78.8069507,Whitebridge,57.204617000000006,-4.507264,3.2,Meal/Entertain,$6.88,Feb,Sat,0 days 00:09:00.000000000,6.88
76,2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,35.791540000000005,-78.78111690000001,Apex,,,5.6,Errand/Supplies,$12.04,Feb,Sun,0 days 00:12:00.000000000,12.04
77,2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,,,Cary,35.791540000000005,-78.78111690000001,5.7,Customer Visit,$12.26,Feb,Sun,0 days 00:14:00.000000000,12.26
78,2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,35.791540000000005,-78.78111690000001,Morrisville,42.8986791,-75.6401825,6.1,Temporary Site,$13.12,Feb,Sun,0 days 00:14:00.000000000,13.12
79,2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,42.8986791,-75.6401825,Cary,35.791540000000005,-78.78111690000001,6.1,Meeting,$13.12,Feb,Sun,0 days 00:18:00.000000000,13.12
80,2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,57.204617000000006,-4.507264,Edgehill Farms,35.7834843,-78.8069507,4.3,Meal/Entertain,$9.25,Feb,Mon,0 days 00:11:00.000000000,9.25
81,2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,35.7834843,-78.8069507,Whitebridge,57.204617000000006,-4.507264,2.7,Meal/Entertain,$5.81,Feb,Mon,0 days 00:10:00.000000000,5.81
82,2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,42.8986791,-75.6401825,Cary,35.791540000000005,-78.78111690000001,6.1,Meal/Entertain,$13.12,Feb,Tues,0 days 00:16:00.000000000,13.12
83,2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,35.791540000000005,-78.78111690000001,Raleigh,35.7795897,-78.6381787,17.3,Meal/Entertain,$37.20,Feb,Thus,0 days 00:42:00.000000000,37.2
84,2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,46.8239279,-100.75688079999999,Walnut Terrace,35.7666892,-78.6409345,5.7,Meal/Entertain,$12.26,Feb,Thus,0 days 00:21:00.000000000,12.26
85,2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,35.7795897,-78.6381787,Morrisville,42.8986791,-75.6401825,13.5,Temporary Site,$29.03,Feb,Thus,0 days 00:22:00.000000000,29.03
86,2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,42.8986791,-75.6401825,Cary,35.791540000000005,-78.78111690000001,6.1,Temporary Site,$13.12,Feb,Thus,0 days 00:15:00.000000000,13.12
87,2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,35.791540000000005,-78.78111690000001,Durham,35.99403289999999,-78.898619,8.5,Temporary Site,$18.28,Feb,Fri,0 days 00:21:00.000000000,18.28
88,2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,35.99403289999999,-78.898619,Morrisville,42.8986791,-75.6401825,2.6,Temporary Site,$5.59,Feb,Fri,0 days 00:07:00.000000000,5.59
89,2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,42.8986791,-75.6401825,Raleigh,35.7795897,-78.6381787,17.0,Customer Visit,$36.55,Feb,Fri,0 days 00:21:00.000000000,36.55
90,2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,35.7795897,-78.6381787,Cary,35.791540000000005,-78.78111690000001,18.0,Meeting,$38.70,Feb,Fri,0 days 00:34:00.000000000,38.7
91,2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,35.791540000000005,-78.78111690000001,Morrisville,42.8986791,-75.6401825,8.4,Meeting,$18.06,Feb,Fri,0 days 00:17:00.000000000,18.06
92,2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,42.8986791,-75.6401825,Cary,35.791540000000005,-78.78111690000001,11.5,Customer Visit,$24.73,Feb,Fri,0 days 00:33:00.000000000,24.73
93,2016-02-13 14:21:00,2016-02-13 14:41:00,Business,Cary,35.791540000000005,-78.78111690000001,Morrisville,42.8986791,-75.6401825,8.9,Meeting,$19.14,Feb,Sat,0 days 00:20:00.000000000,19.14
94,2016-02-14 14:07:00,2016-02-14 14:40:00,Business,East Elmhurst,40.7737505,-73.8713099,New York,40.7127753,-74.0059728,8.1,Meeting,$17.42,Feb,Sun,0 days 00:33:00.000000000,17.42
95,2016-02-14 14:46:00,2016-02-14 15:03:00,Business,Midtown,27.9531045,-82.5033163,Midtown West,40.763758100000004,-73.9918181,2.0,Meeting,$4.30,Feb,Sun,0 days 00:17:00.000000000,4.3
96,2016-02-14 16:35:00,2016-02-14 17:02:00,Business,New York,40.7127753,-74.0059728,Long Island City,40.744679,-73.94854240000001,13.0,Meeting,$27.95,Feb,Sun,0 days 00:27:00.000000000,27.95
97,2016-02-14 17:06:00,2016-02-14 17:29:00,Business,Long Island City,40.744679,-73.94854240000001,Jamaica,18.109581,-77.297508,13.9,Meeting,$29.89,Feb,Sun,0 days 00:23:00.000000000,29.89
98,2016-02-16 13:43:00,2016-02-16 13:55:00,Business,Colombo,6.927078599999999,79.861243,Colombo,6.927078599999999,79.861243,1.8,Temporary Site,$3.87,Feb,Tues,0 days 00:12:00.000000000,3.87
99,2016-02-16 17:17:00,2016-02-16 17:26:00,Business,Colombo,6.927078599999999,79.861243,Nugegoda,6.864908099999999,79.89967890000001,1.1,Meal/Entertain,$2.37,Feb,Tues,0 days 00:09:00.000000000,2.37
100,2016-02-17 15:17:00,2016-02-17 15:22:00,Business,Colombo,6.927078599999999,79.861243,Colombo,6.927078599999999,79.861243,1.7,Meal/Entertain,$3.66,Feb,Wed,0 days 00:05:00.000000000,3.66
101,2016-02-17 15:33:00,2016-02-17 16:17:00,Business,Colombo,6.927078599999999,79.861243,Katunayaka,7.172484900000001,79.88534840000001,21.4,Temporary Site,$46.01,Feb,Wed,0 days 00:44:00.000000000,46.01
102,2016-02-17 16:38:00,2016-02-17 16:43:00,Business,Katunayaka,7.172484900000001,79.88534840000001,Katunayaka,7.172484900000001,79.88534840000001,0.5,Errand/Supplies,$1.08,Feb,Wed,0 days 00:05:00.000000000,1.08
103,2016-02-20 14:50:00,2016-02-20 15:54:00,Business,R?walpindi,33.565110700000005,73.0169135,R?walpindi,33.565110700000005,73.0169135,23.1,Meeting,$49.67,Feb,Sat,0 days 01:04:00.000000000,49.67
104,2016-02-21 11:47:00,2016-02-21 12:01:00,Business,Islamabad,33.684420200000005,73.0478848,Islamabad,33.684420200000005,73.0478848,4.6,Errand/Supplies,$9.89,Feb,Sun,0 days 00:14:00.000000000,9.89
105,2016-02-21 15:14:00,2016-02-21 15:31:00,Business,Islamabad,33.684420200000005,73.0478848,Noorpur Shahan,33.7455831,73.1128313,8.1,Temporary Site,$17.42,Feb,Sun,0 days 00:17:00.000000000,17.42
106,2016-02-22 21:54:00,2016-02-22 22:09:00,Business,Morrisville,42.8986791,-75.6401825,Cary,35.791540000000005,-78.78111690000001,8.1,Customer Visit,$17.42,Feb,Mon,0 days 00:15:00.000000000,17.42
107,2016-02-24 15:19:00,2016-02-24 15:25:00,Business,Preston,53.763201,-2.70309,Whitebridge,57.204617000000006,-4.507264,1.7,Errand/Supplies,$3.66,Feb,Wed,0 days 00:06:00.000000000,3.66
108,2016-02-25 16:27:00,2016-02-25 16:35:00,Business,Whitebridge,57.204617000000006,-4.507264,Heritage Pines,28.4282436,-82.6253837,3.1,Errand/Supplies,$6.67,Feb,Thus,0 days 00:08:00.000000000,6.67
109,2016-02-25 16:47:00,2016-02-25 17:02:00,Business,Heritage Pines,28.4282436,-82.6253837,Whitebridge,57.204617000000006,-4.507264,3.2,Errand/Supplies,$6.88,Feb,Thus,0 days 00:15:00.000000000,6.88
110,2016-02-25 17:16:00,2016-02-25 17:36:00,Business,Whitebridge,57.204617000000006,-4.507264,Tanglewood,42.3523427,-73.3110257,6.0,Meal/Entertain,$12.90,Feb,Thus,0 days 00:20:00.000000000,12.9
111,2016-02-25 18:22:00,2016-02-25 18:39:00,Business,Tanglewood,42.3523427,-73.3110257,Whitebridge,57.204617000000006,-4.507264,5.8,Meal/Entertain,$12.47,Feb,Thus,0 days 00:17:00.000000000,12.47
112,2016-02-26 11:35:00,2016-02-26 11:59:00,Business,Cary,35.791540000000005,-78.78111690000001,Durham,35.99403289999999,-78.898619,10.6,Meeting,$22.79,Feb,Fri,0 days 00:24:00.000000000,22.79
113,2016-02-26 13:01:00,2016-02-26 13:24:00,Business,Durham,35.99403289999999,-78.898619,Cary,35.791540000000005,-78.78111690000001,9.9,Meeting,$21.29,Feb,Fri,0 days 00:23:00.000000000,21.29
114,2016-02-28 05:22:00,2016-02-28 05:38:00,Business,Whitebridge,57.204617000000006,-4.507264,Waverly Place,35.7382082,-78.7775063,7.7,Meeting,$16.56,Feb,Sun,0 days 00:16:00.000000000,16.56
115,2016-02-28 09:26:00,2016-02-28 09:42:00,Business,Waverly Place,35.7382082,-78.7775063,Whitebridge,57.204617000000006,-4.507264,6.8,Meeting,$14.62,Feb,Sun,0 days 00:16:00.000000000,14.62
116,2016-02-29 11:30:00,2016-02-29 11:40:00,Business,Cary,35.791540000000005,-78.78111690000001,Apex,,,3.8,Meeting,$8.17,Feb,Mon,0 days 00:10:00.000000000,8.17
117,2016-02-29 12:36:00,2016-02-29 12:48:00,Business,Apex,,,Cary,35.791540000000005,-78.78111690000001,5.6,Meeting,$12.04,Feb,Mon,0 days 00:12:00.000000000,12.04
118,2016-02-29 16:40:00,2016-02-29 17:00:00,Business,Hazelwood,-25.7777598,28.2577787,Whitebridge,57.204617000000006,-4.507264,6.6,Customer Visit,$14.19,Feb,Mon,0 days 00:20:00.000000000,14.19
119,2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,57.204617000000006,-4.507264,Wayne Ridge,50.6603057,-3.2975005,8.0,Meal/Entertain,$17.20,Mar,Tues,0 days 00:23:00.000000000,17.2
120,2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,50.6603057,-3.2975005,Whitebridge,57.204617000000006,-4.507264,8.0,Meeting,$17.20,Mar,Tues,0 days 00:18:00.000000000,17.2
121,2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,41.6831878,-83.6269032,Whitebridge,57.204617000000006,-4.507264,2.3,Errand/Supplies,$4.95,Mar,Thus,0 days 00:06:00.000000000,4.95
